id	en1	jp1	en2	jp2
266	direct	直接の、まっすぐな、指示する	Please direct me to the nearest bus stop.	最寄りのバス停まで案内してください。
267	envelope	封筒、書類や手紙を入れるためのもの	She put the letter in an envelope and took it to the post office.	彼女は手紙を封筒に入れて郵便局へ持って行きました。
268	aside	横に、脇へ、除いて	Please set your worries aside and enjoy the moment.	心配事は横に置いて、この瞬間を楽しんでください。
269	spell	綴り、スペル	Can you spell your name for me, please?	あなたの名前をスペルしてください。
270	sudden	突然の、予期しない	The sudden change in temperature caught everyone off guard.	気温の突然の変化は、誰もが驚かせました。
271	cough	咳、咳をすること	She couldn't stop coughing during the movie.	彼女は映画の間、咳を止めることができませんでした。
272	fasten	留める、固定する	Please fasten your seatbelt securely.	安全ベルトをしっかりと留めてください。
273	today	今日	Today is a wonderful sunny day.	今日はとても素晴らしい天気です。
274	fortune	運、幸運	After years of hard work, he finally struck fortune and achieved great success.	彼は努力の末、運が開けて大成功を収めました。
275	proud	誇りを持っている、自慢の	She was proud of her accomplishments in the competition.	彼女は競技会での成果を誇りに思っていました。
276	solemn	厳粛な、真面目な	The funeral was a solemn occasion.	葬儀は厳粛な雰囲気だった。
277	scorn	軽蔑、嘲笑	She rejected his proposal with scorn.	彼女は彼の提案を軽蔑して拒絶しました。
278	discuss	議論する、話し合う	Let's discuss the plan in detail during the meeting.	会議中にその計画について詳しく話し合いましょう。
279	crop	作物、収穫	This year's crop will be abundant.	今年の作物は豊作になるでしょう。
280	master	達人、名人、主人	He is a master of the instrument, and everyone is impressed by his performance.	彼はその楽器の達人なので、誰もが彼の演奏に感銘を受けます。
281	opportunity	機会、チャンス	She seized the opportunity to travel abroad for her studies.	彼女は学業のために海外に旅行する機会をつかみました。
282	creep	四つんばいで進むこと、忍び寄ること、ゾッとする、鳥肌が立つ感じ、気味の悪い	The way he moved through the dark alley gave me the creeps.	彼が暗い路地を動いている様子は、私に不気味な感じを与えた。
283	ash	灰、燃えた後に残る物質	The campfire had completely cooled down, leaving only a pile of ash.	キャンプファイヤーは完全に冷め、ただの灰の山だけが残っていました。
284	stove	ストーブ、暖房器具または料理器具	She cooked dinner on the old stove in the kitchen.	彼女はキッチンの古いストーブで夕食を作った。
285	grind	挽く、研ぐ	He ground the coffee beans.	彼はコーヒー豆を挽きました。
286	brave	勇敢な、大胆な	She showed brave determination in the face of danger.	彼女は危険に直面して勇敢な決意を示しました。
287	treasure	宝物、貴重なもの	The pirate buried his treasure on a deserted island.	その海賊は無人島に宝物を埋めた。
288	knot	結び目、結ぶこと	I tied a knot in the rope to secure the package.	私は荷物を固定するためにロープに結び目を作った。
289	complete	完成する、完了する	He was able to complete the project on time.	彼はプロジェクトを時間通りに完成させることができました。
290	love	愛、好きであること	Love is the most powerful emotion one can feel.	愛は、誰もが感じることのできる最も強力な感情です。
291	imitation	模倣、真似ること	His painting is an imitation of the famous artist, but it also shows his unique style.	彼の絵は、その有名な画家の模倣ですが、独自のスタイルも見受けられます。
292	let	許可する、させる	Please let me know if you need any help.	何か助けが必要であれば教えてください。
293	relative	親戚、関連するもの	She invited all her relatives to the family reunion.	彼女は家族の再会にすべての親戚を招待しました。
294	bottom	底、最下部	He found a beautiful stone at the bottom of the river.	彼は川の底で美しい石を見つけました。
